ocupacao,atividade,modelo,rodada,score,justificativa,timestamp
Assistente administrativo,Demonstrar capacidade de adaptação de linguagem,gpt-4o-mini,2,2.00,"LLM adapta linguagem, mas requer julgamento humano e contexto.",2026-03-13T21:45:16Z
Assistente administrativo,Demonstrar capacidade de adaptação de linguagem,claude-3-haiku-20240307,1,2.00,"A atividade exige adaptação de linguagem, que envolve julgamento e interação humana",2026-03-13T21:45:16Z
Assistente administrativo,Demonstrar capacidade de adaptação de linguagem,claude-3-haiku-20240307,2,2.00,"A atividade exige adaptação de linguagem, que pode ser parcialmente executada por",2026-03-13T21:45:17Z
Assistente administrativo,Conferir dados e datas,gpt-4o-mini,1,3.00,"LLM confere dados e datas com utilidade, mas requer validação humana.",2026-03-13T21:45:18Z
Assistente administrativo,Conferir dados e datas,gpt-4o-mini,2,3.00,"LLM confere dados e datas, mas requer validação humana.",2026-03-13T21:45:20Z
Assistente administrativo,Conferir dados e datas,claude-3-haiku-20240307,1,2.00,A atividade combina etapas padronizadas com etapas que exigem julgamento humano.,2026-03-13T21:45:20Z
Assistente administrativo,Conferir dados e datas,claude-3-haiku-20240307,2,2.00,A atividade combina etapas padronizadas com etapas que exigem julgamento humano.,2026-03-13T21:45:21Z
Assistente administrativo,Coletar dados,gpt-4o-mini,1,2.00,"LLM coleta dados, mas julgamento humano é necessário.",2026-03-13T21:45:22Z
Assistente administrativo,Coletar dados,gpt-4o-mini,2,2.00,"LLM coleta dados, mas julgamento humano é necessário.",2026-03-13T21:45:23Z
Assistente administrativo,Coletar dados,claude-3-haiku-20240307,1,2.00,A atividade combina etapas descritíveis com etapas que exigem julgamento humano.,2026-03-13T21:45:23Z
Assistente administrativo,Coletar dados,claude-3-haiku-20240307,2,2.00,A atividade combina etapas descritíveis com etapas que exigem julgamento humano.,2026-03-13T21:45:25Z
Assistente administrativo,Transmitir credibilidade,gpt-4o-mini,1,1.00,"LLM não transmite credibilidade, depende de julgamento humano e interação.",2026-03-13T21:45:25Z
Assistente administrativo,Transmitir credibilidade,gpt-4o-mini,2,1.00,"LLM não transmite credibilidade, depende de julgamento humano.",2026-03-13T21:45:26Z
Assistente administrativo,Transmitir credibilidade,claude-3-haiku-20240307,1,1.00,O núcleo da atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:45:27Z
Assistente administrativo,Transmitir credibilidade,claude-3-haiku-20240307,2,1.00,O núcleo da atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:45:28Z
Assistente administrativo,Providenciar devolução de material fora de especificação,gpt-4o-mini,1,1.00,"LLM pode auxiliar na documentação, mas não na devolução.",2026-03-13T21:45:29Z
Assistente administrativo,Providenciar devolução de material fora de especificação,gpt-4o-mini,2,1.00,Núcleo exige julgamento humano e interação complexa.,2026-03-13T21:45:29Z
Assistente administrativo,Providenciar devolução de material fora de especificação,claude-3-haiku-20240307,1,2.00,A atividade envolve julgamento e interação humana complexos.,2026-03-13T21:45:30Z
Assistente administrativo,Providenciar devolução de material fora de especificação,claude-3-haiku-20240307,2,2.00,A atividade envolve julgamento e interação humana complexos.,2026-03-13T21:45:31Z
Escriturário de banco,Comunicar-se,gpt-4o-mini,1,2.00,"LLM pode auxiliar, mas interação humana e julgamento são essenciais.",2026-03-13T21:45:32Z
Escriturário de banco,Comunicar-se,gpt-4o-mini,2,1.00,"LLM executa partes periféricas, mas não o núcleo da comunicação.",2026-03-13T21:45:33Z
Escriturário de banco,Comunicar-se,claude-3-haiku-20240307,1,2.00,A comunicação exige julgamento e interação humana complexa.,2026-03-13T21:45:34Z
Escriturário de banco,Comunicar-se,claude-3-haiku-20240307,2,2.00,A comunicação exige julgamento e interação humana complexa.,2026-03-13T21:45:35Z
Escriturário de banco,Transferir débitos e créditos entre bancos e agências,gpt-4o-mini,1,2.00,"LLM pode auxiliar, mas julgamento humano e contexto são necessários.",2026-03-13T21:45:35Z
Escriturário de banco,Transferir débitos e créditos entre bancos e agências,gpt-4o-mini,2,2.00,"LLM pode auxiliar, mas julgamento humano e contexto são necessários.",2026-03-13T21:45:36Z
Escriturário de banco,Transferir débitos e créditos entre bancos e agências,claude-3-haiku-20240307,1,2.00,A atividade combina etapas padronizadas com etapas que exigem julgamento humano.,2026-03-13T21:45:36Z
Escriturário de banco,Transferir débitos e créditos entre bancos e agências,claude-3-haiku-20240307,2,2.00,A atividade combina etapas padronizadas com etapas que exigem julgamento humano.,2026-03-13T21:45:37Z
Escriturário de banco,Liquidar contratos,gpt-4o-mini,1,2.00,"LLM pode auxiliar, mas julgamento humano e contexto são essenciais.",2026-03-13T21:45:37Z
Escriturário de banco,Liquidar contratos,gpt-4o-mini,2,2.00,"LLM pode auxiliar, mas julgamento humano é necessário.",2026-03-13T21:45:38Z
Escriturário de banco,Liquidar contratos,claude-3-haiku-20240307,1,2.00,A atividade combina etapas padronizadas com etapas que exigem julgamento humano.,2026-03-13T21:45:39Z
Escriturário de banco,Liquidar contratos,claude-3-haiku-20240307,2,2.00,A atividade combina etapas padronizadas com etapas que exigem julgamento humano.,2026-03-13T21:45:40Z
Escriturário de banco,Atualizar-se profissionalmente,gpt-4o-mini,1,1.00,"LLM pode fornecer informações, mas não garante atualização profissional.",2026-03-13T21:45:40Z
Escriturário de banco,Atualizar-se profissionalmente,gpt-4o-mini,2,1.00,"LLM pode auxiliar na busca de informações, mas não na atualização.",2026-03-13T21:45:41Z
Escriturário de banco,Atualizar-se profissionalmente,claude-3-haiku-20240307,1,2.00,"A atividade exige julgamento humano e interação complexa, mas LLMs podem apoiar",2026-03-13T21:45:42Z
Escriturário de banco,Atualizar-se profissionalmente,claude-3-haiku-20240307,2,2.00,"A atividade exige julgamento humano e interação complexa, mas LLMs podem apoiar",2026-03-13T21:45:43Z
Escriturário de banco,Atualizar documentos em arquivo,gpt-4o-mini,1,2.00,"LLM pode ajudar na atualização, mas requer validação humana.",2026-03-13T21:45:43Z
Escriturário de banco,Atualizar documentos em arquivo,gpt-4o-mini,2,2.00,"LLM pode ajudar na atualização, mas requer validação humana.",2026-03-13T21:45:44Z
Escriturário de banco,Atualizar documentos em arquivo,claude-3-haiku-20240307,1,2.00,"A atividade pode ser parcialmente executada por LLMs, mas requer julgamento humano",2026-03-13T21:45:45Z
Escriturário de banco,Atualizar documentos em arquivo,claude-3-haiku-20240307,2,2.00,"A atividade pode ser parcialmente executada por LLMs, mas requer julgamento humano",2026-03-13T21:45:45Z
Técnico de contabilidade,Apurar o resultado da alienação,gpt-4o-mini,1,2.00,"LLM pode auxiliar, mas julgamento humano é necessário.",2026-03-13T21:45:46Z
Técnico de contabilidade,Apurar o resultado da alienação,gpt-4o-mini,2,2.00,"LLM pode auxiliar, mas julgamento humano é necessário.",2026-03-13T21:45:47Z
Técnico de contabilidade,Apurar o resultado da alienação,claude-3-haiku-20240307,1,2.00,A atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:45:47Z
Técnico de contabilidade,Apurar o resultado da alienação,claude-3-haiku-20240307,2,2.00,A atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:45:48Z
Técnico de contabilidade,Criar relatório de custo,gpt-4o-mini,1,3.00,"LLM executa o núcleo, mas julgamento humano é necessário.",2026-03-13T21:45:49Z
Técnico de contabilidade,Criar relatório de custo,gpt-4o-mini,2,3.00,"LLM executa o núcleo, mas julgamento humano é necessário.",2026-03-13T21:45:49Z
Técnico de contabilidade,Criar relatório de custo,claude-3-haiku-20240307,1,3.00,"O LLM pode executar o núcleo da atividade, mas ainda requer julgamento",2026-03-13T21:45:50Z
Técnico de contabilidade,Criar relatório de custo,claude-3-haiku-20240307,2,3.00,"O LLM pode executar o núcleo da atividade, mas ainda requer julgamento",2026-03-13T21:45:51Z
Técnico de contabilidade,Definir centro de custos,gpt-4o-mini,1,2.00,"LLM pode ajudar na definição, mas requer julgamento humano.",2026-03-13T21:45:51Z
Técnico de contabilidade,Definir centro de custos,gpt-4o-mini,2,2.00,"LLM pode ajudar na definição, mas requer julgamento humano.",2026-03-13T21:45:52Z
Técnico de contabilidade,Definir centro de custos,claude-3-haiku-20240307,1,2.00,"A atividade pode ser parcialmente executada por LLMs, mas requer julgamento humano",2026-03-13T21:45:53Z
Técnico de contabilidade,Definir centro de custos,claude-3-haiku-20240307,2,2.00,"A atividade pode ser parcialmente executada por LLMs, mas requer julgamento humano",2026-03-13T21:45:54Z
Técnico de contabilidade,Fazer balancetes de verificação,gpt-4o-mini,1,3.00,"LLM executa balancetes, mas revisão humana é necessária.",2026-03-13T21:45:55Z
Técnico de contabilidade,Fazer balancetes de verificação,gpt-4o-mini,2,3.00,"LLM executa balancetes, mas revisão humana é necessária.",2026-03-13T21:45:55Z
Técnico de contabilidade,Fazer balancetes de verificação,claude-3-haiku-20240307,1,3.00,"A atividade pode ser descrita por instruções claras, com julgamento humano limitado.",2026-03-13T21:45:58Z
Técnico de contabilidade,Fazer balancetes de verificação,claude-3-haiku-20240307,2,3.00,"A atividade pode ser descrita por instruções claras, com julgamento humano limitado.",2026-03-13T21:45:58Z
Técnico de contabilidade,Preparar fluxo de caixa,gpt-4o-mini,1,2.00,"LLM pode auxiliar, mas julgamento humano é necessário.",2026-03-13T21:45:59Z
Técnico de contabilidade,Preparar fluxo de caixa,gpt-4o-mini,2,2.00,"LLM pode auxiliar na estruturação, mas julgamento humano é necessário.",2026-03-13T21:45:59Z
Técnico de contabilidade,Preparar fluxo de caixa,claude-3-haiku-20240307,1,2.00,A atividade combina etapas padronizadas com etapas que exigem julgamento humano.,2026-03-13T21:46:00Z
Técnico de contabilidade,Preparar fluxo de caixa,claude-3-haiku-20240307,2,2.00,A atividade combina etapas padronizadas com etapas que exigem julgamento humano.,2026-03-13T21:46:01Z
Contador,Administrar o prontuário dos funcionários,gpt-4o-mini,1,1.00,"LLM executa partes periféricas, mas núcleo exige julgamento humano.",2026-03-13T21:46:02Z
Contador,Administrar o prontuário dos funcionários,gpt-4o-mini,2,1.00,"LLM executa partes periféricas, mas núcleo exige julgamento humano.",2026-03-13T21:46:03Z
Contador,Administrar o prontuário dos funcionários,claude-3-haiku-20240307,1,1.00,O núcleo da atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:46:03Z
Contador,Administrar o prontuário dos funcionários,claude-3-haiku-20240307,2,1.00,O núcleo da atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:46:04Z
Contador,Parametrizar aplicativos contábeis/fiscais e de suporte,gpt-4o-mini,1,2.00,"LLM executa partes, mas julgamento humano é necessário.",2026-03-13T21:46:04Z
Contador,Parametrizar aplicativos contábeis/fiscais e de suporte,gpt-4o-mini,2,2.00,"LLM executa partes, mas julgamento humano é necessário.",2026-03-13T21:46:05Z
Contador,Parametrizar aplicativos contábeis/fiscais e de suporte,claude-3-haiku-20240307,1,2.00,A atividade combina etapas padronizadas com etapas que exigem julgamento humano.,2026-03-13T21:46:06Z
Contador,Parametrizar aplicativos contábeis/fiscais e de suporte,claude-3-haiku-20240307,2,2.00,A atividade combina etapas padronizadas com etapas que exigem julgamento humano.,2026-03-13T21:46:07Z
Contador,Confrontar as informações contábeis com custos,gpt-4o-mini,1,2.00,"LLM pode auxiliar na análise, mas julgamento humano é necessário.",2026-03-13T21:46:07Z
Contador,Confrontar as informações contábeis com custos,gpt-4o-mini,2,2.00,"LLM pode auxiliar na análise, mas julgamento humano é necessário.",2026-03-13T21:46:08Z
Contador,Confrontar as informações contábeis com custos,claude-3-haiku-20240307,1,2.00,A atividade combina etapas padronizadas com etapas que exigem julgamento humano.,2026-03-13T21:46:09Z
Contador,Confrontar as informações contábeis com custos,claude-3-haiku-20240307,2,2.00,A atividade combina etapas padronizadas com etapas que exigem julgamento humano.,2026-03-13T21:46:09Z
Contador,Providenciar defesa,gpt-4o-mini,1,1.00,"LLM não executa defesa, requer julgamento e interação humana complexa.",2026-03-13T21:46:10Z
Contador,Providenciar defesa,gpt-4o-mini,2,1.00,"LLM não executa defesa, requer julgamento e interação humana.",2026-03-13T21:46:11Z
Contador,Providenciar defesa,claude-3-haiku-20240307,1,1.00,O núcleo da atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:46:11Z
Contador,Providenciar defesa,claude-3-haiku-20240307,2,1.00,O núcleo da atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:46:12Z
Contador,"Utilizar fax, telefone,internet e intranet",gpt-4o-mini,1,1.00,"LLM executa partes periféricas, mas núcleo exige julgamento humano.",2026-03-13T21:46:13Z
Contador,"Utilizar fax, telefone,internet e intranet",gpt-4o-mini,2,1.00,"LLM executa partes periféricas, mas núcleo exige julgamento humano.",2026-03-13T21:46:14Z
Contador,"Utilizar fax, telefone,internet e intranet",claude-3-haiku-20240307,1,2.00,A atividade combina etapas padronizadas com etapas que exigem julgamento humano.,2026-03-13T21:46:15Z
Contador,"Utilizar fax, telefone,internet e intranet",claude-3-haiku-20240307,2,2.00,A atividade combina etapas padronizadas com etapas que exigem julgamento humano.,2026-03-13T21:46:15Z
Analista de recursos humanos,Preparar multiplicadores para treinamento,gpt-4o-mini,1,2.00,"LLM pode ajudar na preparação, mas julgamento humano é necessário.",2026-03-13T21:46:16Z
Analista de recursos humanos,Preparar multiplicadores para treinamento,gpt-4o-mini,2,2.00,"LLM pode ajudar na preparação, mas julgamento humano é necessário.",2026-03-13T21:46:17Z
Analista de recursos humanos,Preparar multiplicadores para treinamento,claude-3-haiku-20240307,1,2.00,A atividade combina etapas padronizadas com etapas que exigem julgamento humano.,2026-03-13T21:46:18Z
Analista de recursos humanos,Preparar multiplicadores para treinamento,claude-3-haiku-20240307,2,2.00,A atividade combina etapas padronizadas com etapas que exigem julgamento humano.,2026-03-13T21:46:19Z
Analista de recursos humanos,Indicar testemunhas para depor em causas trabalhistas,gpt-4o-mini,1,1.00,LLM não pode indicar testemunhas sem julgamento humano complexo.,2026-03-13T21:46:20Z
Analista de recursos humanos,Indicar testemunhas para depor em causas trabalhistas,gpt-4o-mini,2,1.00,LLM não pode indicar testemunhas sem julgamento humano complexo.,2026-03-13T21:46:20Z
Analista de recursos humanos,Indicar testemunhas para depor em causas trabalhistas,claude-3-haiku-20240307,1,1.00,O núcleo da atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:46:21Z
Analista de recursos humanos,Indicar testemunhas para depor em causas trabalhistas,claude-3-haiku-20240307,2,1.00,O núcleo da atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:46:22Z
Analista de recursos humanos,Coordenar eventos sociais da empresa,gpt-4o-mini,1,1.00,"LLM pode auxiliar na organização, mas não coordena eventos.",2026-03-13T21:46:22Z
Analista de recursos humanos,Coordenar eventos sociais da empresa,gpt-4o-mini,2,1.00,"LLM pode ajudar na organização, mas não coordena eventos.",2026-03-13T21:46:23Z
Analista de recursos humanos,Coordenar eventos sociais da empresa,claude-3-haiku-20240307,1,1.00,O núcleo da atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:46:24Z
Analista de recursos humanos,Coordenar eventos sociais da empresa,claude-3-haiku-20240307,2,1.00,O núcleo da atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:46:25Z
Analista de recursos humanos,Orientar empregados sobre benefícios,gpt-4o-mini,1,2.00,"LLM pode fornecer informações, mas julgamento humano é necessário.",2026-03-13T21:46:25Z
Analista de recursos humanos,Orientar empregados sobre benefícios,gpt-4o-mini,2,2.00,"LLM pode fornecer informações, mas julgamento humano é necessário.",2026-03-13T21:46:26Z
Analista de recursos humanos,Orientar empregados sobre benefícios,claude-3-haiku-20240307,1,2.00,"A atividade exige julgamento humano e interação complexa, embora possa ser parcialmente",2026-03-13T21:46:27Z
Analista de recursos humanos,Orientar empregados sobre benefícios,claude-3-haiku-20240307,2,2.00,"A atividade exige julgamento humano e interação complexa, embora possa ser parcialmente",2026-03-13T21:46:27Z
Analista de recursos humanos,Propor ações corretivas resultantes da avaliação,gpt-4o-mini,1,2.00,"LLM pode sugerir ações, mas requer julgamento humano contextual.",2026-03-13T21:46:28Z
Analista de recursos humanos,Propor ações corretivas resultantes da avaliação,gpt-4o-mini,2,2.00,"LLM pode sugerir ações, mas requer julgamento humano contextual.",2026-03-13T21:46:29Z
Analista de recursos humanos,Propor ações corretivas resultantes da avaliação,claude-3-haiku-20240307,1,2.00,O núcleo da atividade exige julgamento humano contextual e a interação humana,2026-03-13T21:46:29Z
Analista de recursos humanos,Propor ações corretivas resultantes da avaliação,claude-3-haiku-20240307,2,2.00,O núcleo da atividade exige julgamento humano contextual e interação humana complexa.,2026-03-13T21:46:30Z
Analista de pesquisa de mercado,Demonstrar capacidade de flexibilidade,gpt-4o-mini,1,1.00,Núcleo exige julgamento humano e adaptação ao contexto.,2026-03-13T21:46:31Z
Analista de pesquisa de mercado,Demonstrar capacidade de flexibilidade,gpt-4o-mini,2,1.00,Núcleo exige julgamento humano e adaptação ao contexto.,2026-03-13T21:46:32Z
Analista de pesquisa de mercado,Demonstrar capacidade de flexibilidade,claude-3-haiku-20240307,1,2.00,A atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:46:32Z
Analista de pesquisa de mercado,Demonstrar capacidade de flexibilidade,claude-3-haiku-20240307,2,2.00,A atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:46:33Z
Analista de pesquisa de mercado,Subsidiar desenvolvimento e/ou melhorias de processos,gpt-4o-mini,1,2.00,"LLM auxilia em processos, mas julgamento humano é necessário.",2026-03-13T21:46:34Z
Analista de pesquisa de mercado,Subsidiar desenvolvimento e/ou melhorias de processos,gpt-4o-mini,2,2.00,"LLM auxilia em processos, mas julgamento humano é necessário.",2026-03-13T21:46:35Z
Analista de pesquisa de mercado,Subsidiar desenvolvimento e/ou melhorias de processos,claude-3-haiku-20240307,1,2.00,A atividade combina etapas padronizáveis com etapas que exigem julgamento humano.,2026-03-13T21:46:35Z
Analista de pesquisa de mercado,Subsidiar desenvolvimento e/ou melhorias de processos,claude-3-haiku-20240307,2,2.00,A atividade combina etapas padronizáveis com etapas que exigem julgamento humano.,2026-03-13T21:46:36Z
Analista de pesquisa de mercado,Acompanhar atuação da concorrência,gpt-4o-mini,1,2.00,"LLM pode auxiliar na coleta de dados, mas requer interpretação humana.",2026-03-13T21:46:37Z
Analista de pesquisa de mercado,Acompanhar atuação da concorrência,gpt-4o-mini,2,2.00,"LLM pode auxiliar na coleta de dados, mas requer interpretação humana.",2026-03-13T21:46:38Z
Analista de pesquisa de mercado,Acompanhar atuação da concorrência,claude-3-haiku-20240307,1,2.00,A atividade combina etapas descritíveis com etapas que exigem julgamento humano.,2026-03-13T21:46:38Z
Analista de pesquisa de mercado,Acompanhar atuação da concorrência,claude-3-haiku-20240307,2,2.00,A atividade combina etapas descritíveis com etapas que exigem julgamento humano.,2026-03-13T21:46:39Z
Analista de pesquisa de mercado,"Relacionar-se com a mídia, órgãos governamentais, entidades de classe e associações, entre outros",gpt-4o-mini,1,1.00,Núcleo exige interação humana complexa e julgamento subjetivo.,2026-03-13T21:46:40Z
Analista de pesquisa de mercado,"Relacionar-se com a mídia, órgãos governamentais, entidades de classe e associações, entre outros",gpt-4o-mini,2,1.00,"LLM pode auxiliar, mas interação humana é essencial.",2026-03-13T21:46:40Z
Analista de pesquisa de mercado,"Relacionar-se com a mídia, órgãos governamentais, entidades de classe e associações, entre outros",claude-3-haiku-20240307,1,2.00,A atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:46:41Z
Analista de pesquisa de mercado,"Relacionar-se com a mídia, órgãos governamentais, entidades de classe e associações, entre outros",claude-3-haiku-20240307,2,2.00,A atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:46:42Z
Analista de pesquisa de mercado,Demonstrar capacidade de abstração,gpt-4o-mini,1,1.00,Núcleo exige julgamento humano complexo e interpretação contextual.,2026-03-13T21:46:42Z
Analista de pesquisa de mercado,Demonstrar capacidade de abstração,gpt-4o-mini,2,1.00,"LLM não executa abstração, requer julgamento humano complexo.",2026-03-13T21:46:43Z
Analista de pesquisa de mercado,Demonstrar capacidade de abstração,claude-3-haiku-20240307,1,2.00,A atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:46:44Z
Analista de pesquisa de mercado,Demonstrar capacidade de abstração,claude-3-haiku-20240307,2,2.00,A atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:46:44Z
Jornalista,Pesquisar informações,gpt-4o-mini,1,2.00,"LLM auxilia na pesquisa, mas julgamento humano é essencial.",2026-03-13T21:46:45Z
Jornalista,Pesquisar informações,gpt-4o-mini,2,2.00,"LLM auxilia na pesquisa, mas julgamento humano é essencial.",2026-03-13T21:46:45Z
Jornalista,Pesquisar informações,claude-3-haiku-20240307,1,2.00,"A pesquisa de informações envolve julgamento e contexto, com apenas partes periféricas",2026-03-13T21:46:46Z
Jornalista,Pesquisar informações,claude-3-haiku-20240307,2,2.00,"A pesquisa de informações envolve julgamento e contexto, com apenas partes periféricas",2026-03-13T21:46:47Z
Jornalista,Ler livros,gpt-4o-mini,1,0.00,LLM não executa leitura de livros de forma útil.,2026-03-13T21:46:48Z
Jornalista,Ler livros,gpt-4o-mini,2,0.00,LLM não executa leitura de livros de forma útil.,2026-03-13T21:46:48Z
Jornalista,Ler livros,claude-3-haiku-20240307,1,2.00,A leitura de livros exige julgamento humano complexo e interação humana.,2026-03-13T21:46:49Z
Jornalista,Ler livros,claude-3-haiku-20240307,2,2.00,A leitura de livros exige julgamento humano complexo e interação humana.,2026-03-13T21:46:50Z
Jornalista,Hierarquizar a informação,gpt-4o-mini,1,2.00,"LLM hierarquiza informações, mas requer julgamento humano e contexto.",2026-03-13T21:46:51Z
Jornalista,Hierarquizar a informação,gpt-4o-mini,2,2.00,"LLM hierarquiza informações, mas julgamento humano é necessário.",2026-03-13T21:46:52Z
Jornalista,Hierarquizar a informação,claude-3-haiku-20240307,1,2.00,A atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:46:52Z
Jornalista,Hierarquizar a informação,claude-3-haiku-20240307,2,2.00,A atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:46:53Z
Jornalista,Desenvolver capacidade de organização,gpt-4o-mini,1,1.00,"LLM pode ajudar na organização, mas não executa o núcleo.",2026-03-13T21:46:54Z
Jornalista,Desenvolver capacidade de organização,gpt-4o-mini,2,1.00,"LLM pode ajudar na organização, mas não executa o núcleo.",2026-03-13T21:46:54Z
Jornalista,Desenvolver capacidade de organização,claude-3-haiku-20240307,1,2.00,A atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:46:55Z
Jornalista,Desenvolver capacidade de organização,claude-3-haiku-20240307,2,2.00,A atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:46:56Z
Jornalista,Executar pauta,gpt-4o-mini,1,2.00,"LLM pode auxiliar, mas julgamento humano e contexto são essenciais.",2026-03-13T21:46:56Z
Jornalista,Executar pauta,gpt-4o-mini,2,2.00,"LLM pode auxiliar, mas julgamento humano e contexto são essenciais.",2026-03-13T21:46:57Z
Jornalista,Executar pauta,claude-3-haiku-20240307,1,2.00,A atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:46:58Z
Jornalista,Executar pauta,claude-3-haiku-20240307,2,2.00,"A atividade exige julgamento humano e interação complexa, mas LLMs podem executar",2026-03-13T21:46:58Z
Redator de publicidade,Demonstrar habilidade de comunicação verbal,gpt-4o-mini,1,1.00,LLM não executa comunicação verbal de forma útil.,2026-03-13T21:46:59Z
Redator de publicidade,Demonstrar habilidade de comunicação verbal,gpt-4o-mini,2,1.00,LLM não executa comunicação verbal de forma útil.,2026-03-13T21:47:00Z
Redator de publicidade,Demonstrar habilidade de comunicação verbal,claude-3-haiku-20240307,1,2.00,A atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:47:00Z
Redator de publicidade,Demonstrar habilidade de comunicação verbal,claude-3-haiku-20240307,2,2.00,A atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:47:01Z
