ocupacao,atividade,modelo,rodada,score,justificativa,timestamp
Analista de planejamento e orçamento - apo,Desenvolver sistema de indicadores,claude-3-haiku-20240307,2,2.00,A atividade combina etapas descritíveis com etapas que exigem julgamento humano.,2026-03-13T21:39:05Z
Analista de planejamento e orçamento - apo,Demonstrar pró-atividade,gpt-4o-mini,1,1.00,Núcleo exige julgamento humano e interação complexa.,2026-03-13T21:39:05Z
Analista de planejamento e orçamento - apo,Demonstrar pró-atividade,gpt-4o-mini,2,1.00,Núcleo exige julgamento humano e interação complexa.,2026-03-13T21:39:06Z
Analista de planejamento e orçamento - apo,Demonstrar pró-atividade,claude-3-haiku-20240307,1,2.00,"A atividade exige julgamento humano e interação complexa, embora possa ser parcialmente",2026-03-13T21:39:07Z
Analista de planejamento e orçamento - apo,Demonstrar pró-atividade,claude-3-haiku-20240307,2,2.00,"A atividade exige julgamento humano e interação complexa, embora possa ser parcialmente",2026-03-13T21:39:07Z
Assistente administrativo,Demonstrar capacidade de adaptação de linguagem,gpt-4o-mini,1,2.00,"LLM adapta linguagem, mas requer julgamento e contexto humano.",2026-03-13T21:39:08Z
Assistente administrativo,Demonstrar capacidade de adaptação de linguagem,gpt-4o-mini,2,2.00,"LLM adapta linguagem, mas requer julgamento humano e contexto.",2026-03-13T21:39:09Z
Assistente administrativo,Demonstrar capacidade de adaptação de linguagem,claude-3-haiku-20240307,1,2.00,"A atividade exige adaptação de linguagem, que envolve julgamento e interação humana",2026-03-13T21:39:10Z
Assistente administrativo,Demonstrar capacidade de adaptação de linguagem,claude-3-haiku-20240307,2,2.00,"A atividade exige adaptação de linguagem, que envolve julgamento e interação humana",2026-03-13T21:39:11Z
Assistente administrativo,Conferir dados e datas,gpt-4o-mini,1,3.00,"LLM confere dados e datas, mas revisão humana é necessária.",2026-03-13T21:39:11Z
Assistente administrativo,Conferir dados e datas,gpt-4o-mini,2,3.00,"LLM confere dados e datas, mas revisão humana é necessária.",2026-03-13T21:39:12Z
Assistente administrativo,Conferir dados e datas,claude-3-haiku-20240307,1,2.00,A atividade combina etapas padronizadas com etapas que exigem julgamento humano.,2026-03-13T21:39:12Z
Assistente administrativo,Conferir dados e datas,claude-3-haiku-20240307,2,2.00,A atividade combina etapas padronizadas com etapas que exigem julgamento humano.,2026-03-13T21:39:13Z
Assistente administrativo,Coletar dados,gpt-4o-mini,1,2.00,"LLM coleta dados úteis, mas requer validação humana.",2026-03-13T21:39:14Z
Assistente administrativo,Coletar dados,gpt-4o-mini,2,2.00,"LLM coleta dados úteis, mas requer validação humana.",2026-03-13T21:39:14Z
Assistente administrativo,Coletar dados,claude-3-haiku-20240307,1,2.00,A atividade combina etapas descritíveis com etapas que exigem julgamento humano.,2026-03-13T21:39:15Z
Assistente administrativo,Coletar dados,claude-3-haiku-20240307,2,2.00,A atividade combina etapas descritíveis com etapas que exigem julgamento humano.,2026-03-13T21:39:16Z
Assistente administrativo,Transmitir credibilidade,gpt-4o-mini,1,1.00,Núcleo exige julgamento humano e interação complexa significativa.,2026-03-13T21:39:17Z
Assistente administrativo,Transmitir credibilidade,gpt-4o-mini,2,1.00,"LLM não transmite credibilidade, depende de julgamento humano.",2026-03-13T21:39:17Z
Assistente administrativo,Transmitir credibilidade,claude-3-haiku-20240307,1,1.00,O núcleo da atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:39:18Z
Assistente administrativo,Transmitir credibilidade,claude-3-haiku-20240307,2,1.00,O núcleo da atividade exige julgamento humano complexo e interação humana.,2026-03-13T21:39:19Z
Assistente administrativo,Providenciar devolução de material fora de especificação,gpt-4o-mini,1,1.00,Núcleo exige julgamento humano e interação complexa.,2026-03-13T21:39:20Z
Assistente administrativo,Providenciar devolução de material fora de especificação,gpt-4o-mini,2,1.00,"LLM pode auxiliar, mas julgamento humano é essencial.",2026-03-13T21:39:21Z
Assistente administrativo,Providenciar devolução de material fora de especificação,claude-3-haiku-20240307,1,2.00,A atividade envolve julgamento e interação humana complexos.,2026-03-13T21:39:21Z
Assistente administrativo,Providenciar devolução de material fora de especificação,claude-3-haiku-20240307,2,2.00,A atividade envolve julgamento e interação humana complexos.,2026-03-13T21:39:22Z
